,Unnamed: 0,id,imdb_id,title,original_title,release_date,revenue,budget,runtime,tagline,overview,production_countries,vote_average,vote_count,all_production_cos,list_genres,release_year,multiple,Lionsgate,Warner,fox,marvel,paramount,disney,production_companies,revenue_m,budget_m,is_us
21,21,122.0,tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003-12-01,1118888979.0,94000000.0,201.0,The eye of the enemy is moving.,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.","['{iso_3166_1:NZ', 'name:NewZealand}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.4,12674.0,"['NewLineCinema', 'WingNutFilms', 'TheSaulZaentzCompany']","['Adventure', 'Fantasy', 'Action']",2003,11.903074244680852,False,False,False,False,False,False,"['NewLineCinema', 'WingNutFilms', 'TheSaulZaentzCompany']",1118.888979,94.0,True
22,22,37724.0,tt1074638,Skyfall,Skyfall,2012-10-25,1108561013.0,200000000.0,143.0,Think on your sins.,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['{iso_3166_1:GB', 'name:UnitedKingdom}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.1,10200.0,"['Danjaq', 'ColumbiaPictures', 'UnitedArtists', 'EonProductions', 'Metro-Goldwyn-Mayer']","['Action', 'Adventure', 'Thriller']",2012,5.542805065,False,False,False,False,False,False,"['Danjaq', 'ColumbiaPictures', 'UnitedArtists', 'EonProductions', 'Metro-Goldwyn-Mayer']",1108.561013,200.0,True
23,23,91314.0,tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,2014-06-25,1091405097.0,210000000.0,165.0,This is not war. It's extinction.,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",5.8,4656.0,"['HasbroStudios', 'Paramount', 'AmblinEntertainment', 'DiBonaventuraPictures', 'PlatinumDunes', 'ChinaMovieChannel', 'IanBryceProductions', 'RevolutionSunStudios']","['ScienceFiction', 'Action', 'Adventure']",2014,5.1971671285714285,False,False,False,False,True,False,"['HasbroStudios', 'Paramount', 'AmblinEntertainment', 'DiBonaventuraPictures', 'PlatinumDunes', 'ChinaMovieChannel', 'IanBryceProductions', 'RevolutionSunStudios']",1091.405097,210.0,True
24,24,49026.0,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012-07-16,1084939099.0,250000000.0,165.0,The Legend Ends,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.7,13491.0,"['Syncopy', 'LegendaryEntertainment', 'DCEntertainment', 'WarnerBros.Pictures']","['Action', 'Crime', 'Drama', 'Thriller']",2012,4.339756396,False,True,False,False,False,False,"['Syncopy', 'LegendaryEntertainment', 'DCEntertainment', 'WarnerBros.Pictures']",1084.939099,250.0,True
25,25,10193.0,tt0435761,Toy Story 3,Toy Story 3,2010-06-16,1066969703.0,200000000.0,103.0,No toy gets left behind.,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.7,8002.0,['Pixar'],"['Animation', 'Family', 'Comedy']",2010,5.334848515,False,False,False,False,False,False,['Pixar'],1066.969703,200.0,True
26,26,58.0,tt0383574,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,1065659812.0,200000000.0,151.0,Jack is back!,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.2,9021.0,"['WaltDisneyPictures', 'JerryBruckheimerFilms', 'SecondMateProductions']","['Adventure', 'Fantasy', 'Action']",2006,5.32829906,False,False,False,False,False,True,"['WaltDisneyPictures', 'JerryBruckheimerFilms', 'SecondMateProductions']",1065.659812,200.0,True
27,27,330459.0,tt3748528,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016-12-14,1056057273.0,200000000.0,133.0,A Rebellion Built on Hope,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,"['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.5,8993.0,['Lucasfilm'],"['Action', 'Adventure', 'ScienceFiction']",2016,5.280286365,False,False,False,False,False,False,['Lucasfilm'],1056.057273,200.0,True
28,28,1865.0,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011-05-14,1045713802.0,380000000.0,136.0,Live Forever Or Die Trying.,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.4,8243.0,"['WaltDisneyPictures', 'JerryBruckheimerFilms', 'MovingPictureCompany']","['Adventure', 'Action', 'Fantasy']",2011,2.7518784263157894,False,False,False,False,False,True,"['WaltDisneyPictures', 'JerryBruckheimerFilms', 'MovingPictureCompany']",1045.713802,380.0,True
29,29,324852.0,tt3469046,Despicable Me 3,Despicable Me 3,2017-06-15,1031552585.0,80000000.0,96.0,Oh brother.,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,"['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.3,3940.0,"['UniversalPictures', 'IlluminationEntertainment']","['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",2017,12.8944073125,False,False,False,False,False,False,"['UniversalPictures', 'IlluminationEntertainment']",1031.552585,80.0,True
30,30,127380.0,tt2277860,Finding Dory,Finding Dory,2016-06-16,1028570889.0,200000000.0,97.0,An unforgettable journey she probably won't remember.,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,"['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.0,7571.0,['Pixar'],"['Adventure', 'Animation', 'Comedy', 'Family']",2016,5.142854445,False,False,False,False,False,False,['Pixar'],1028.570889,200.0,True
