,index,canonicalUri,category,categoryUri,publishDate,title,uid
104,104,https://www.lionsgate.com/movies/all-eyez-on-me,Movies,https://www.lionsgate.com/movies,2018-08-16 01:50:00,All Eyez On Me,00000165-4148-d038-abed-e9d9a5360000
105,105,https://www.lionsgate.com/movies/chappaquiddick,Movies,https://www.lionsgate.com/movies,2018-08-16 01:54:00,Chappaquiddick,00000165-414c-d038-abed-e9dd16c80000
106,106,https://www.lionsgate.com/movies/deepwater-horizon,Movies,https://www.lionsgate.com/movies,2018-08-16 01:54:00,Deepwater Horizon,00000165-414c-d038-abed-e9ddc0800000
107,107,https://www.lionsgate.com/movies/hacksaw-ridge,Movies,https://www.lionsgate.com/movies,2018-08-16 02:01:00,Hacksaw Ridge,00000165-4153-d038-abed-e9d301de0000
108,108,https://www.lionsgate.com/movies/i-can-only-imagine,Movies,https://www.lionsgate.com/movies,2018-08-16 02:05:00,I Can Only Imagine,00000165-4156-d038-abed-e9d7a1020000
109,109,https://www.lionsgate.com/movies/the-big-sick,Movies,https://www.lionsgate.com/movies,2018-08-16 02:17:00,The Big Sick,00000165-4161-d038-abed-e9f120f30000
110,110,https://www.lionsgate.com/movies/the-glass-castle,Movies,https://www.lionsgate.com/movies,2018-10-02 14:22:00,The Glass Castle,00000166-3601-d4e2-ade6-f7fd278c0000
111,111,https://www.lionsgate.com/movies/the-disaster-artist,Movies,https://www.lionsgate.com/movies,2018-08-16 02:17:00,The Disaster Artist,00000165-4161-d038-abed-e9f1a9410000
112,112,https://www.lionsgate.com/movies/patriots-day,Movies,https://www.lionsgate.com/movies,2018-08-16 02:11:00,Patriots Day,00000165-415b-d038-abed-e9db3d830000
113,113,https://www.lionsgate.com/movies/uncle-drew,Movies,https://www.lionsgate.com/movies,2018-08-16 02:19:00,Uncle Drew,00000165-4163-d038-abed-e9f3c1c30000
114,114,https://www.lionsgate.com/movies/kin,Movies,https://www.lionsgate.com/movies,2018-08-16 02:06:00,Kin,00000165-4157-d038-abed-e9d79fb10000
115,115,https://www.lionsgate.com/movies/blindspotting,Movies,https://www.lionsgate.com/movies,2018-08-16 01:53:00,Blindspotting,00000165-414b-d038-abed-e9dbcc4b0000
116,116,https://www.lionsgate.com/movies/acrimony,Movies,https://www.lionsgate.com/movies,2018-08-16 01:49:00,Acrimony,00000165-4147-d038-abed-e9d7f1690000
117,117,https://www.lionsgate.com/movies/john-wick-chapter-3-parabellum,Movies,https://www.lionsgate.com/movies,2019-01-15 10:00:00,John Wick: Chapter 3 - Parabellum,00000168-4f09-dc52-a77c-cf2b25030000
118,118,https://www.lionsgate.com/movies/hellboy,Movies,https://www.lionsgate.com/movies,2018-09-20 19:59:00,Hellboy,00000165-f96b-d325-af7d-fb7fb3ea0000
119,119,https://www.lionsgate.com/movies/long-shot,Movies,https://www.lionsgate.com/movies,2019-02-15 17:38:00,Long Shot,00000168-e968-d538-a1e8-fd78eab90000
120,120,https://www.lionsgate.com/movies/cold-pursuit,Movies,https://www.lionsgate.com/movies,2019-03-18 11:57:00,Cold Pursuit,00000169-7347-dde6-a1e9-7fc752d60000
121,121,https://www.lionsgate.com/movies/robin-hood,Movies,https://www.lionsgate.com/movies,2018-08-16 02:12:00,Robin Hood,00000165-415c-d038-abed-e9dda4460000
122,122,https://www.lionsgate.com/movies/hunter-killer,Movies,https://www.lionsgate.com/movies,2018-08-16 02:04:00,Hunter Killer,00000165-4155-d038-abed-e9d5f1390000
123,123,https://www.lionsgate.com/movies/the-spy-who-dumped-me,Movies,https://www.lionsgate.com/movies,2018-08-16 02:19:00,The Spy Who Dumped Me,00000165-4163-d038-abed-e9f3499a0000
124,124,https://www.lionsgate.com/movies/a-simple-favor,Movies,https://www.lionsgate.com/movies,2018-12-17 23:59:00,A Simple Favor,00000165-3a6f-d038-abed-fbff959a0000
125,125,https://www.lionsgate.com/shows/selling-sunset/selling-sunset-season-1,,,2019-03-22 18:22:00,Selling Sunset Season 1,00000169-91a9-dde6-a1e9-9fed005e0000
126,126,https://www.lionsgate.com/shows/step-up-high-water/step-up-high-water-season-1,Shows,https://www.lionsgate.com/shows,2018-10-31 16:34:00,Step Up: High Water,00000166-cbc6-d8ce-adfe-efff06a10001
127,127,https://www.lionsgate.com/shows/orange-is-the-new-black,,,2018-08-27 16:32:00,Orange Is The New Black ,00000165-7d15-d038-abed-fd9574620000
128,128,https://www.lionsgate.com/shows/fear-the-walking-dead/fear-the-walking-dead-season-4,Shows,https://www.lionsgate.com/shows,2019-01-15 00:00:00,Fear The Walking Dead Season 4,00000167-d2b8-d41e-a567-defa2edc0001
129,129,https://www.lionsgate.com/shows/dear-white-people/dear-white-people-season-2,DEAR WHITE PEOPLE,https://www.lionsgate.com/shows/dear-white-people,2018-08-27 17:48:00,Dear White People Season 2,00000165-7d5b-d038-abed-fddb4eed0000
130,130,https://www.lionsgate.com/shows/greenleaf,,,2018-08-27 17:52:00,Greenleaf,00000165-7d5d-d038-abed-fddd23580000
