,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
1084,False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,582763,tt9471842,en,Trio,Gert and Wim both fall for an escort.,1.4,/1Cq08n5mPJEvwhunbFG6TE1czA0.jpg,[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}]",2019-02-13,0,94.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Trio,False,0.0,0
1085,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,582613,tt9741162,es,Niña Sola,"After the murder of Cintia, 19, her mother and older sister begin to explore their own lives marked by abusive relationships with their partners, trying to find an explanation for the crime and a new meaning to their lives.",1.4,/v2UQGPw1xrKwS0tD6Nv4HzHv6iM.jpg,"[{'id': 114899, 'logo_path': None, 'name': 'Cine Al Norte', 'origin_country': ''}, {'id': 5153, 'logo_path': '/d4BySWBlcGBBY58FG78DWMi9nrs.png', 'name': 'Estudios Churubusco Azteca', 'origin_country': 'MX'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2019-02-13,0,92.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,A Girl Alone,False,0.0,0
1086,False,/fQCI6f8y4n5Hy5deK3Uo2b92jQg.jpg,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",https://kintopfilms.com/,582185,,pt,Fordlandia Malaise,"Fordlandia Malaise is a film about the memory and the present of Fordlandia, the company town founded by Henry Ford in the Amazon rain forest in 1928. His aim was to break the British rubber monopoly and produce this material in Brazil for his car production in the United States. Today, the remains of construction testify to the scale of the failure of this neocolonialist endeavor that lasted less than a decade.  Nowadays, Fordlandia is a space suspended between times, between the 20th and 21st centuries, between utopia and dystopia, between visibility and invisibility: architectural buildings of steel, glass, and masonry still remain in use while traces of indigenous life left no marks on the ground.",1.4,/6iHGOWInDlhOuEMSS59u2RuM4Aj.jpg,"[{'id': 114815, 'logo_path': None, 'name': 'Kintop', 'origin_country': ''}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2019-02-13,0,40.0,"[{'iso_639_1': 'pt', 'name': 'Português'}]",Released,"Fordlandia Malaise is a film about the memory and the present of Fordlandia, the company town founded by Henry Ford in the Amazon rain forest in 1928.",Fordlandia Malaise,False,0.0,0
1087,False,,,0,[],,582020,,en,Waivelength,A new performance that reworks the 1967 film’s sine wave soundtrack into a new composition distributed across multiple channels of sound in real time.​​,1.4,/7AwiOuhTzf6qEIg59DBhxeSQ6jw.jpg,[],[],2019-02-13,0,35.0,[],Released,,Waivelength,False,0.0,0
1088,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.youtube.com/watch?v=j9kFkPVd4Xw,582002,,en,ILLEGAL FREEDOM: VACANT OASIS,The latest installment in the urbex series 'Illegal Freedom',1.4,/S8atpMAyFhdKwLAvIlvghDcKqZ.jpg,[],[],2019-02-13,0,23.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,ILLEGAL FREEDOM: VACANT OASIS,False,0.0,0
1089,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,580935,tt7562244,fr,"Armonía, Franco et mon grand-père",,1.408,/cPp8CdDuuKbtfVD29gu0CelbQFz.jpg,[],[],2019-02-13,0,,[],Released,,"Armonia, Franco and My Grandfather",False,0.0,0
1090,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,577081,tt9221304,ar,Oufsaiyed Elkhortoum,"A group of exceptional young ladies in Khartoum are determined to play football professionally. They are prepared to defy the ban imposed by Sudan's Islamic Military government and they will not take no for an answer. Their battle to get officially recognized as Sudan's National Woman's team is fearless, courageous and often laughable. But their struggle is unwavering. Through the intimate portrait of these women over a number of years we follow their moments of hope and deception. Despite the National Football Federation getting FIFA funds earmarked for the women's teams, this team continues to be marginalized. However, there is a new spark of hope when the elections within the federation could mean real change of the entire system.",0.6,/9MmL9H2y0XEK7jCxWozCXCNsvpi.jpg,"[{'id': 113822, 'logo_path': None, 'name': 'One Productions', 'origin_country': ''}, {'id': 113823, 'logo_path': None, 'name': 'Stray Dog Productions', 'origin_country': ''}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'NO', 'name': 'Norway'}, {'iso_3166_1': 'SD', 'name': 'Sudan'}]",2019-02-13,0,75.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Khartoum Offside,False,0.0,0
1091,False,,,0,"[{'id': 18, 'name': 'Drama'}]",,577025,tt9654244,zh,Chun nuan hua kai,"One sleeps by day, the other by night, as the city around them expands in all directions.",0.6,/3Abtqr0Akhdt3sEi0gwFXHT0lCB.jpg,"[{'id': 114067, 'logo_path': None, 'name': 'Nanslafu Films', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'RS', 'name': 'Serbia'}]",2019-02-13,0,60.0,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,"From Tomorrow on, I Will",False,0.0,0
1092,False,,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,575331,tt6208032,fa,Ashghal haye Doost Dashtani,It's about a family that has the opportunity to solve the mother's problem one night.,1.575,/kXW9CMIZNWoRjHFhgGmPEeVQDMf.jpg,[],"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2019-02-13,0,88.0,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,Lovely Trash,False,0.0,0
1093,False,/cuJmiAbGJ0mv01WVRxhJK4uZiy7.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://filmregardeailleurs.com/,573450,tt9761004,fr,Regarde ailleurs,"Europe, the rule of law and host countries? Look elsewhere denounces what is happening in many European cities by taking the example of Calais. From the expulsion from the ""jungle"" in October 2016 to the situation there a year later, Arthur shared moments of life with men and women of Sudanese, Afghan, Ethiopian, Eritrean and local descent of Calais. By highlighting the gap between the field and the official speeches, this film shows us the strategy put in place to dissuade the exiles from staying. With original filming methods and his civic gaze, the director has managed to film the state harassment, the media staging, but also the strength and humor of the exiles.",0.6,/xAXEe2DR36b8zKAsK2LmDtCqrKX.jpg,"[{'id': 114792, 'logo_path': None, 'name': 'Actividéo', 'origin_country': ''}, {'id': 114793, 'logo_path': None, 'name': 'Diopside Production', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2019-02-13,0,85.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Look Away,False,0.0,0
1094,False,/xIJEMb5PSnzoLgsn4p3KnwPIiE2.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,572151,tt9765144,ko,기묘한 가족,An affluent neighborhood family is visited by a zombie.,4.715,/4dB2qRgjyVzdny5DxKiQzLqKVFD.jpg,"[{'id': 112926, 'logo_path': None, 'name': 'Cine Joo', 'origin_country': 'KR'}, {'id': 91505, 'logo_path': None, 'name': 'Megabox Plus M', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2019-02-13,0,112.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,The Odd Family : Zombie On Sale,False,0.0,0
